STT,Dạng,Nguồn,STT câu gốc,Loại số,Đề bài,Đáp án đúng,Lời giải,Nhận xét,Ghi chú kiểm tra
550,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số nguyên,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (1+i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \sqrt{2}$.
B. $r = 2 \sqrt{2}$.
C. $r = 4$.
D. $r = 8$.",B. $r = 2 \sqrt{2}$.,Ta có $w=(1+i)z+i \Leftrightarrow z=\dfrac{w-i}{1+i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|1+i| = 2 \sqrt{2}$.,Đạt,
551,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số nguyên,"Cho số phức $z$ thỏa mãn $|z| = 1$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (7-8i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 1 + \sqrt{113}$.
B. $r = \sqrt{113}$.
C. $r = 113$.
D. $r = 114$.",B. $r = \sqrt{113}$.,Ta có $w=(7-8i)z+i \Leftrightarrow z=\dfrac{w-i}{7-8i}$. Do $|z|=1$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 1\cdot|7-8i| = \sqrt{113}$.,Đạt,
552,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số nguyên,"Cho số phức $z$ thỏa mãn $|z| = 1$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (2+i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 1 + \sqrt{5}$.
B. $r = \sqrt{5}$.
C. $r = 5$.
D. $r = 6$.",B. $r = \sqrt{5}$.,Ta có $w=(2+i)z+i \Leftrightarrow z=\dfrac{w-i}{2+i}$. Do $|z|=1$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 1\cdot|2+i| = \sqrt{5}$.,Đạt,
553,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 3$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (\dfrac{9}{4}+\dfrac{7}{5}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{53}{20}$.
B. $r = \dfrac{159}{20}$.
C. $r = \dfrac{8427}{400}$.
D. $r = \dfrac{25281}{400}$.",B. $r = \dfrac{159}{20}$.,Ta có $w=(\dfrac{9}{4}+\dfrac{7}{5}i)z+i \Leftrightarrow z=\dfrac{w-i}{\dfrac{9}{4}+\dfrac{7}{5}i}$. Do $|z|=3$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 3\cdot|\dfrac{9}{4}+\dfrac{7}{5}i| = \dfrac{159}{20}$.,Đạt,
554,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (\dfrac{3}{2}+\dfrac{1}{5}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{\sqrt{229}}{10}$.
B. $r = \dfrac{\sqrt{229}}{5}$.
C. $r = \dfrac{229}{50}$.
D. $r = \dfrac{229}{25}$.",B. $r = \dfrac{\sqrt{229}}{5}$.,Ta có $w=(\dfrac{3}{2}+\dfrac{1}{5}i)z+i \Leftrightarrow z=\dfrac{w-i}{\dfrac{3}{2}+\dfrac{1}{5}i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|\dfrac{3}{2}+\dfrac{1}{5}i| = \dfrac{\sqrt{229}}{5}$.,Đạt,
555,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 1$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (- \dfrac{1}{4}-\dfrac{1}{2}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{\sqrt{5}}{4} + 1$.
B. $r = \dfrac{\sqrt{5}}{4}$.
C. $r = \dfrac{5}{16}$.
D. $r = \dfrac{21}{16}$.",B. $r = \dfrac{\sqrt{5}}{4}$.,Ta có $w=(- \dfrac{1}{4}-\dfrac{1}{2}i)z+i \Leftrightarrow z=\dfrac{w-i}{- \dfrac{1}{4}-\dfrac{1}{2}i}$. Do $|z|=1$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 1\cdot|- \dfrac{1}{4}-\dfrac{1}{2}i| = \dfrac{\sqrt{5}}{4}$.,Đạt,
556,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 3$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (- \dfrac{3}{2}-\dfrac{11}{4}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{\sqrt{157}}{4}$.
B. $r = \dfrac{3 \sqrt{157}}{4}$.
C. $r = \dfrac{471}{16}$.
D. $r = \dfrac{1413}{16}$.",B. $r = \dfrac{3 \sqrt{157}}{4}$.,Ta có $w=(- \dfrac{3}{2}-\dfrac{11}{4}i)z+i \Leftrightarrow z=\dfrac{w-i}{- \dfrac{3}{2}-\dfrac{11}{4}i}$. Do $|z|=3$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 3\cdot|- \dfrac{3}{2}-\dfrac{11}{4}i| = \dfrac{3 \sqrt{157}}{4}$.,Đạt,
557,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (\dfrac{6}{5}+\dfrac{9}{4}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{51}{20}$.
B. $r = \dfrac{51}{10}$.
C. $r = \dfrac{2601}{200}$.
D. $r = \dfrac{2601}{100}$.",B. $r = \dfrac{51}{10}$.,Ta có $w=(\dfrac{6}{5}+\dfrac{9}{4}i)z+i \Leftrightarrow z=\dfrac{w-i}{\dfrac{6}{5}+\dfrac{9}{4}i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|\dfrac{6}{5}+\dfrac{9}{4}i| = \dfrac{51}{10}$.,Đạt,
558,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số hữu tỉ,"Cho số phức $z$ thỏa mãn $|z| = 4$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (\dfrac{11}{3}+\dfrac{9}{5}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \dfrac{\sqrt{3754}}{15}$.
B. $r = \dfrac{4 \sqrt{3754}}{15}$.
C. $r = \dfrac{15016}{225}$.
D. $r = \dfrac{60064}{225}$.",B. $r = \dfrac{4 \sqrt{3754}}{15}$.,Ta có $w=(\dfrac{11}{3}+\dfrac{9}{5}i)z+i \Leftrightarrow z=\dfrac{w-i}{\dfrac{11}{3}+\dfrac{9}{5}i}$. Do $|z|=4$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 4\cdot|\dfrac{11}{3}+\dfrac{9}{5}i| = \dfrac{4 \sqrt{3754}}{15}$.,Đạt,
559,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 1$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (4-3 \sqrt{5}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 1 + \sqrt{61}$.
B. $r = \sqrt{61}$.
C. $r = 61$.
D. $r = 62$.",B. $r = \sqrt{61}$.,Ta có $w=(4-3 \sqrt{5}i)z+i \Leftrightarrow z=\dfrac{w-i}{4-3 \sqrt{5}i}$. Do $|z|=1$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 1\cdot|4-3 \sqrt{5}i| = \sqrt{61}$.,Đạt,
560,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 4$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (- \sqrt{6}+3 \sqrt{11}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \sqrt{105}$.
B. $r = 4 \sqrt{105}$.
C. $r = 420$.
D. $r = 1680$.",B. $r = 4 \sqrt{105}$.,Ta có $w=(- \sqrt{6}+3 \sqrt{11}i)z+i \Leftrightarrow z=\dfrac{w-i}{- \sqrt{6}+3 \sqrt{11}i}$. Do $|z|=4$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 4\cdot|- \sqrt{6}+3 \sqrt{11}i| = 4 \sqrt{105}$.,Đạt,
561,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (-8+3 \sqrt{6}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \sqrt{118}$.
B. $r = 2 \sqrt{118}$.
C. $r = 236$.
D. $r = 472$.",B. $r = 2 \sqrt{118}$.,Ta có $w=(-8+3 \sqrt{6}i)z+i \Leftrightarrow z=\dfrac{w-i}{-8+3 \sqrt{6}i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|-8+3 \sqrt{6}i| = 2 \sqrt{118}$.,Đạt,
562,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (- 2 \sqrt{2}+5i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = \sqrt{33}$.
B. $r = 2 \sqrt{33}$.
C. $r = 66$.
D. $r = 132$.",B. $r = 2 \sqrt{33}$.,Ta có $w=(- 2 \sqrt{2}+5i)z+i \Leftrightarrow z=\dfrac{w-i}{- 2 \sqrt{2}+5i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|- 2 \sqrt{2}+5i| = 2 \sqrt{33}$.,Đạt,
563,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 2$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (-6-4 \sqrt{10}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 14$.
B. $r = 28$.
C. $r = 392$.
D. $r = 784$.",B. $r = 28$.,Ta có $w=(-6-4 \sqrt{10}i)z+i \Leftrightarrow z=\dfrac{w-i}{-6-4 \sqrt{10}i}$. Do $|z|=2$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 2\cdot|-6-4 \sqrt{10}i| = 28$.,Đạt,
564,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,4,Số vô tỉ,"Cho số phức $z$ thỏa mãn $|z| = 1$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (4 \sqrt{10}+2 \sqrt{2}i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 1 + 2 \sqrt{42}$.
B. $r = 2 \sqrt{42}$.
C. $r = 168$.
D. $r = 169$.",B. $r = 2 \sqrt{42}$.,Ta có $w=(4 \sqrt{10}+2 \sqrt{2}i)z+i \Leftrightarrow z=\dfrac{w-i}{4 \sqrt{10}+2 \sqrt{2}i}$. Do $|z|=1$ nên tập hợp điểm biểu diễn $w$ là đường tròn bán kính $r = 1\cdot|4 \sqrt{10}+2 \sqrt{2}i| = 2 \sqrt{42}$.,Đạt,
565,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=5$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{9}{8}$.
B. $\dfrac{125}{576}$.
C. $\dfrac{5 \sqrt{5}}{12}$.
D. $\dfrac{5 \sqrt{5}}{24}$.",D. $\dfrac{5 \sqrt{5}}{24}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-2+iz}{1+z}$ suy ra $z=\dfrac{w+2}{i-w}$, lấy môđun và thay $|z|=5$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{5 \sqrt{5}}{24}$.",Đạt,
566,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=2$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $2$.
B. $\dfrac{20}{9}$.
C. $\dfrac{4 \sqrt{5}}{3}$.
D. $\dfrac{2 \sqrt{5}}{3}$.",D. $\dfrac{2 \sqrt{5}}{3}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-2+iz}{1+z}$ suy ra $z=\dfrac{w+2}{i-w}$, lấy môđun và thay $|z|=2$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{2 \sqrt{5}}{3}$.",Đạt,
567,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=5$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{9}{8}$.
B. $\dfrac{125}{576}$.
C. $\dfrac{5 \sqrt{5}}{12}$.
D. $\dfrac{5 \sqrt{5}}{24}$.",D. $\dfrac{5 \sqrt{5}}{24}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{2+iz}{1+z}$ suy ra $z=\dfrac{w-2}{i-w}$, lấy môđun và thay $|z|=5$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{5 \sqrt{5}}{24}$.",Đạt,
568,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=3$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{1+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{5}{4}$.
B. $\dfrac{9}{32}$.
C. $\dfrac{3 \sqrt{2}}{4}$.
D. $\dfrac{3 \sqrt{2}}{8}$.",D. $\dfrac{3 \sqrt{2}}{8}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{1+iz}{1+z}$ suy ra $z=\dfrac{w-1}{i-w}$, lấy môđun và thay $|z|=3$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{3 \sqrt{2}}{8}$.",Đạt,
569,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=3$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{3}{2}$.
B. $\dfrac{45}{32}$.
C. $\dfrac{3 \sqrt{10}}{4}$.
D. $\dfrac{3 \sqrt{10}}{8}$.",D. $\dfrac{3 \sqrt{10}}{8}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{3+iz}{1+z}$ suy ra $z=\dfrac{w-3}{i-w}$, lấy môđun và thay $|z|=3$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{3 \sqrt{10}}{8}$.",Đạt,
570,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số nguyên,"Xét số phức $z$ thỏa mãn $|z|=3$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{1+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{5}{4}$.
B. $\dfrac{9}{32}$.
C. $\dfrac{3 \sqrt{2}}{4}$.
D. $\dfrac{3 \sqrt{2}}{8}$.",D. $\dfrac{3 \sqrt{2}}{8}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{1+iz}{1+z}$ suy ra $z=\dfrac{w-1}{i-w}$, lấy môđun và thay $|z|=3$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{3 \sqrt{2}}{8}$.",Đạt,
571,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{5}{3}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{43}{16}$.
B. $\dfrac{1125}{256}$.
C. $\dfrac{15 \sqrt{5}}{8}$.
D. $\dfrac{15 \sqrt{5}}{16}$.",D. $\dfrac{15 \sqrt{5}}{16}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{2+iz}{1+z}$ suy ra $z=\dfrac{w-2}{i-w}$, lấy môđun và thay $|z|=\dfrac{5}{3}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{15 \sqrt{5}}{16}$.",Đạt,
572,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{5}{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{11}{7}$.
B. $\dfrac{500}{441}$.
C. $\dfrac{20 \sqrt{5}}{21}$.
D. $\dfrac{10 \sqrt{5}}{21}$.",D. $\dfrac{10 \sqrt{5}}{21}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-2+iz}{1+z}$ suy ra $z=\dfrac{w+2}{i-w}$, lấy môđun và thay $|z|=\dfrac{5}{2}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{10 \sqrt{5}}{21}$.",Đạt,
573,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{5}{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{1+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{29}{21}$.
B. $\dfrac{200}{441}$.
C. $\dfrac{20 \sqrt{2}}{21}$.
D. $\dfrac{10 \sqrt{2}}{21}$.",D. $\dfrac{10 \sqrt{2}}{21}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{1+iz}{1+z}$ suy ra $z=\dfrac{w-1}{i-w}$, lấy môđun và thay $|z|=\dfrac{5}{2}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{10 \sqrt{2}}{21}$.",Đạt,
574,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{5}{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{11}{7}$.
B. $\dfrac{500}{441}$.
C. $\dfrac{20 \sqrt{5}}{21}$.
D. $\dfrac{10 \sqrt{5}}{21}$.",D. $\dfrac{10 \sqrt{5}}{21}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{2+iz}{1+z}$ suy ra $z=\dfrac{w-2}{i-w}$, lấy môđun và thay $|z|=\dfrac{5}{2}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{10 \sqrt{5}}{21}$.",Đạt,
575,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{9}{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{89}{77}$.
B. $\dfrac{1620}{5929}$.
C. $\dfrac{36 \sqrt{5}}{77}$.
D. $\dfrac{18 \sqrt{5}}{77}$.",D. $\dfrac{18 \sqrt{5}}{77}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-2+iz}{1+z}$ suy ra $z=\dfrac{w+2}{i-w}$, lấy môđun và thay $|z|=\dfrac{9}{2}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{18 \sqrt{5}}{77}$.",Đạt,
576,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số hữu tỉ,"Xét số phức $z$ thỏa mãn $|z|=\dfrac{5}{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{11}{7}$.
B. $\dfrac{500}{441}$.
C. $\dfrac{20 \sqrt{5}}{21}$.
D. $\dfrac{10 \sqrt{5}}{21}$.",D. $\dfrac{10 \sqrt{5}}{21}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{2+iz}{1+z}$ suy ra $z=\dfrac{w-2}{i-w}$, lấy môđun và thay $|z|=\dfrac{5}{2}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{10 \sqrt{5}}{21}$.",Đạt,
577,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{2+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $4$.
B. $10$.
C. $2 \sqrt{10}$.
D. $\sqrt{10}$.",D. $\sqrt{10}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{2+iz}{1+z}$ suy ra $z=\dfrac{w-2}{i-w}$, lấy môđun và thay $|z|=\sqrt{2}$, biến đổi được phương trình đường tròn với bán kính $R=\sqrt{10}$.",Đạt,
578,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{7}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-1+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{4}{3}$.
B. $\dfrac{7}{18}$.
C. $\dfrac{\sqrt{14}}{3}$.
D. $\dfrac{\sqrt{14}}{6}$.",D. $\dfrac{\sqrt{14}}{6}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-1+iz}{1+z}$ suy ra $z=\dfrac{w+1}{i-w}$, lấy môđun và thay $|z|=\sqrt{7}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{\sqrt{14}}{6}$.",Đạt,
579,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{7}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $\dfrac{5}{3}$.
B. $\dfrac{35}{18}$.
C. $\dfrac{\sqrt{70}}{3}$.
D. $\dfrac{\sqrt{70}}{6}$.",D. $\dfrac{\sqrt{70}}{6}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{3+iz}{1+z}$ suy ra $z=\dfrac{w-3}{i-w}$, lấy môđun và thay $|z|=\sqrt{7}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{\sqrt{70}}{6}$.",Đạt,
580,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{5}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $2$.
B. $\dfrac{25}{8}$.
C. $\dfrac{5 \sqrt{2}}{2}$.
D. $\dfrac{5 \sqrt{2}}{4}$.",D. $\dfrac{5 \sqrt{2}}{4}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{3+iz}{1+z}$ suy ra $z=\dfrac{w-3}{i-w}$, lấy môđun và thay $|z|=\sqrt{5}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{5 \sqrt{2}}{4}$.",Đạt,
581,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{3}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $3$.
B. $\dfrac{15}{2}$.
C. $\sqrt{30}$.
D. $\dfrac{\sqrt{30}}{2}$.",D. $\dfrac{\sqrt{30}}{2}$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{3+iz}{1+z}$ suy ra $z=\dfrac{w-3}{i-w}$, lấy môđun và thay $|z|=\sqrt{3}$, biến đổi được phương trình đường tròn với bán kính $R=\dfrac{\sqrt{30}}{2}$.",Đạt,
582,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Nhân bản,46,Số vô tỉ,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{-1+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $3$.
B. $4$.
C. $5$.
D. $2$.",D. $2$.,"Đặt $w=X+Yi$. Từ $w=\dfrac{-1+iz}{1+z}$ suy ra $z=\dfrac{w+1}{i-w}$, lấy môđun và thay $|z|=\sqrt{2}$, biến đổi được phương trình đường tròn với bán kính $R=2$.",Đạt,
583,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,36,Số nguyên,"Phương trình nào dưới đây nhận hai số phức $z=-6-3i$ và $-6+3i$ là nghiệm?

A. $z^2-12z-45=0$.
B. $z^2+12z-45=0$.
C. $z^2+12z+45=0$.
D. $z^2-12z+45=0$.",C. $z^2+12z+45=0$.,"Áp dụng định lý Vi-ét: tổng hai số phức là $-12$, tích của chúng là $45$ $\Rightarrow$ hai số phức là nghiệm của phương trình $z^2+12z+45=0$.",Đạt,
584,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,36,Số nguyên,"Phương trình nào dưới đây nhận hai số phức $z=8+i$ và $8-i$ là nghiệm?

A. $z^2+16z-65=0$.
B. $z^2-16z-65=0$.
C. $z^2-16z+65=0$.
D. $z^2+16z+65=0$.",C. $z^2-16z+65=0$.,"Áp dụng định lý Vi-ét: tổng hai số phức là $16$, tích của chúng là $65$ $\Rightarrow$ hai số phức là nghiệm của phương trình $z^2-16z+65=0$.",Đạt,
