STT,Định danh,Chủ đề,Đề bài (chuyển đổi),Đáp án (chuyển đổi),Lời giải (chuyển đổi),Nhận xét A,Nhận xét B,Ghi chú lỗi chuyển markdown
73,KT-07 (Trang 29 - Câu 46),Hình giải tích Oxyz,"**Câu 46:** Trong không gian với hệ tọa độ $Oxyz$, phương trình nào dưới đây là phương trình của mặt cầu tâm $I(1;2;-1)$ và tiếp xúc với mặt phẳng $(P): x - 2y - 2z - 8 = 0$?
A. $(x+1)^2 + (y+2)^2 + (z-1)^2 = 3$.
B. $(x-1)^2 + (y-2)^2 + (z+1)^2 = 3$.
C. $(x-1)^2 + (y-2)^2 + (z+1)^2 = 9$.
D. $(x+1)^2 + (y+2)^2 + (z-1)^2 = 9$.",C. $(x-1)^2 + (y-2)^2 + (z+1)^2 = 9$.,"Gọi mặt cầu cần tìm là $(S)$.

Ta có $(S)$ là mặt cầu có tâm $I(1;2;-1)$ và bán kính $R$.

Vì $(S)$ tiếp xúc với mặt phẳng $(P): x - 2y - 2z - 8 = 0$ nên ta có:

$$E = d(I;(P)) = \frac{|1 - 2\cdot 2 - 2\cdot(-1) - 8|}{\sqrt{1^2 + (-2)^2 + (-2)^2}} = 3.$$

Vậy, phương trình mặt cầu cần tìm là $(x-1)^2 + (y-2)^2 + (z+1)^2 = 9$.",,,
74,KT-08 (Trang 32 - Câu 10),Tích phân - Nguyên hàm,"**Câu 10:** Tìm nguyên hàm của hàm số $f(x) = x^2 + \dfrac{2}{x^2}$.
A. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{x^3}{3} - \dfrac{2}{x} + C$.
B. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{x^3}{3} - \dfrac{1}{x} + C$.
C. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{x^3}{3} + \dfrac{2}{x} + C$.
D. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{x^3}{3} + \dfrac{1}{x} + C$.","A. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{x^3}{3} - \dfrac{2}{x} + C$.",Ta có: $\displaystyle\int \left(x^2 + \frac{2}{x^2}\right)\mathrm{d}x = \frac{x^3}{3} - \frac{2}{x} + C$.,,,
75,KT-09 (Trang 34 - Câu 16),Hình học không gian,"**Câu 16:** Tính thể tích $V$ của khối lăng trụ tam giác đều có tất cả các cạnh bằng $a$.
A. $V = \dfrac{a^3\sqrt{3}}{6}$.
B. $V = \dfrac{a^3\sqrt{3}}{12}$.
C. $V = \dfrac{a^3\sqrt{3}}{2}$.
D. $V = \dfrac{a^3\sqrt{3}}{4}$.",D. $V = \dfrac{a^3\sqrt{3}}{4}$.,Ta có: $V = B \cdot h = a \cdot \dfrac{a^2\sqrt{3}}{4} = \dfrac{a^2\sqrt{3}}{4}$.,,,"[Lỗi toán học trong tài liệu gốc] Dòng kết quả của lời giải ghi $V = a \cdot \dfrac{a^2\sqrt{3}}{4} = \dfrac{a^2\sqrt{3}}{4}$ — kết quả cuối bị sai số mũ (viết $a^2$ thay vì $a^3$). Đối chiếu ảnh gốc trang 34: bản gốc CŨNG in $\dfrac{a^2\sqrt{3}}{4}$, nên đây là lỗi in/typo có sẵn trong tài liệu, không phải do chuyển đổi. Đáp án D ($V = \dfrac{a^3\sqrt{3}}{4}$) là đúng. Nên sửa kết quả cuối của lời giải thành $\dfrac{a^3\sqrt{3}}{4}$."
76,KT-10 (Trang 41 - Câu 42),Hình giải tích Oxyz,"**Câu 42:** Trong không gian với hệ tọa độ $Oxyz$, cho mặt phẳng $(P): 6x - 2y + z - 35 = 0$ và điểm $A(-1;3;6)$. Gọi $A'$ là điểm đối xứng với $A$ qua $(P)$, tính $OA'$.
A. $OA' = 3\sqrt{26}$.
B. $OA' = 5\sqrt{3}$.
C. $OA' = \sqrt{46}$.
D. $OA' = \sqrt{186}$.",D. $OA' = \sqrt{186}$.,"Gọi $d$ là đường thẳng qua $A$ và vuông góc với mp$(P)$ nên $d$ có VTCP là $\vec{u_d} = \vec{n_P} = (6;-2;1)$.

Phương trình tham số của $d$: $\begin{cases} x = -1 + 6t \\ y = 3 - 2t \\ z = 6 + t \end{cases}$.

Gọi $H$ là hình chiếu của $A$ trên mp$(P)$. Khi đó tọa độ điểm $H$ là nghiệm của hệ phương trình:

$$\begin{cases} x = -1 + 6t \\ y = 3 - 2t \\ z = 6 + t \\ 6x - 2y + z - 35 = 0 \end{cases} \Leftrightarrow \begin{cases} t = 1 \\ x = 5 \\ y = 1 \\ z = 7 \end{cases} \Rightarrow H(5;1;7).$$

Vì $A'$ là điểm đối xứng của $A$ qua $(P)$ nên $H$ là trung điểm của $AA'$. Suy ra $A'(11;-1;8)$.

Vậy, $OA' = \sqrt{186}$.",,,
77,KT-11 (Trang 49 - Câu 11),Tích phân - Nguyên hàm,"**Câu 11:** Họ nguyên hàm của hàm số $f(x) = 3x^2 + 1$ là
A. $x^3 + C$.
B. $\dfrac{x^3}{3} + x + C$.
C. $6x + C$.
D. $x^3 + x + C$.",D. $x^3 + x + C$.,"Ta có $\displaystyle\int (3x^2+1)\,\mathrm{d}x = x^3 + x + C$, với $C$ là hằng số.",,,
78,KT-12 (Trang 62 - Câu 50),Hàm số - Đạo hàm - Khảo sát,"**Câu 50:** Cho hàm số $f(x)$ có đạo hàm liên tục trên đoạn $[0;1]$ thỏa mãn

$$f(1) = 0,\ \int_0^1 [f'(x)]^2\,\mathrm{d}x = 7,\ \int_0^1 x^2 f(x)\,\mathrm{d}x = \frac{1}{3}.$$

Tích phân $\displaystyle\int_0^1 f(x)\,\mathrm{d}x$ bằng
A. $\dfrac{7}{5}$.
B. $1$.
C. $\dfrac{7}{4}$.
D. $4$.",A. $\dfrac{7}{5}$.,"**Cách 1.** Đặt $\begin{cases} u = f(x) \\ \mathrm{d}v = x^2\,\mathrm{d}x \end{cases} \Rightarrow \begin{cases} \mathrm{d}u = f'(x)\,\mathrm{d}x \\ v = \dfrac{x^3}{3} \end{cases}$.

Khi đó: $\dfrac{1}{3} = \displaystyle\int_0^1 x^2 f(x)\,\mathrm{d}x = \left[\dfrac{x^3}{3}f(x)\right]\Big|_0^1 - \int_0^1 \dfrac{x^3}{3}f'(x)\,\mathrm{d}x$.

Suy ra $\displaystyle\int_0^1 x^3 f'(x)\,\mathrm{d}x = -1$.  (1)

Mặt khác, do $\displaystyle\int_0^1 [f'(x)]^2\,\mathrm{d}x = 7$ nên

$$\int_0^1 \left[[f'(x)]^2 + 14x^3 f'(x) + 49x^6\right]\mathrm{d}x = 0 = 7 - 14 + 7 = 0.$$

Hay $\displaystyle\int_0^1 \left(f'(x) + 7x^3\right)^2\mathrm{d}x = 0$.  (2)

Suy ra $f'(x) + 7x^3 = 0 \Rightarrow f'(x) = -7x^3 \Rightarrow f(x) = -\dfrac{7}{4}x^4 + C$.

Mà $f(1) = 0$ nên $C = \dfrac{7}{4}$, suy ra $f(x) = \dfrac{7}{4}(1 - x^4)$. Khi đó $\displaystyle\int_0^1 f(x)\,\mathrm{d}x = \dfrac{7}{5}$.

**Lưu ý.** Có thể giải thích vì sao từ (2) suy ra $f'(x) + 7x^3 = 0$, $\forall x \in [0;1]$ như sau: Theo giả thiết ta có hàm số $y = (f'(x) + 7x^3)^2$ liên tục và không âm trên đoạn $[0;1]$ (do đó, đồ thị hàm số này là một đường nét liền trên đoạn $[0;1]$ và không có điểm nào nằm bên dưới trục $Ox$). Tích phân ở (2) có giá trị bằng diện tích hình phẳng giới hạn bởi đồ thị hàm số $y = (f'(x)+7x^3)^2$, trục hoành, đường thẳng $x=0$, đường thẳng $x=1$. Mà theo (2) thì hình phẳng này có diện tích bằng 0 nên $f'(x) + 7x^3 = 0$, $\forall x \in [0;1]$.

**Cách 2 (tiếp nối từ (1)).** Ta có bất đẳng thức Bunhiacovski đối với tích phân: Nếu hai hàm số $f(x)$, $g(x)$ liên tục trên đoạn $[a;b]$ thì ta luôn có

$$\left[\int_a^b f(x).g(x)\mathrm{d}x\right]^2 \le \left(\int_a^b f^2(x)\mathrm{d}x\right)\cdot \int_a^b g^2(x)\mathrm{d}x.$$

Dấu ""="" xảy ra khi và chỉ khi $g(x) = kf(x)$, $\forall x \in [a;b]$. Trở lại bài toán. Từ (1), ta có:

$$1 = \left(\int_0^1 x^3 f'(x)\mathrm{d}x\right)^2 \le \int_0^1 x^6\mathrm{d}x \cdot \int_0^1 [f'(x)]^2\mathrm{d}x = \frac{1}{7}\cdot 7 = 1.$$

Như vậy dấu ""="" xảy ra, tức là $f'(x) = kx^3$. Thay trở lại vào (1), ta được:

$$k\int_0^1 x^6\mathrm{d}x = -1 \Rightarrow \frac{k}{7} = -1 \Rightarrow k = -7.$$

[GHI CHÚ: Trang 63 kết thúc tại đây (Cách 2 dừng ở bước tìm $k=-7$, dòng ""Chọn đáp án"" tường minh không xuất hiện trên trang này); tuy nhiên đáp án đã được xác định rõ ràng và không mơ hồ từ Cách 1: $\int_0^1 f(x)\,\mathrm{d}x = \dfrac{7}{5}$, khớp với phương án A.]",,,
79,KT-13 (Trang 65 - Câu 1),Hình học không gian,"**Câu 1:** Thể tích khối lập phương cạnh $2a$ bằng
A. $8a^3$.
B. $2a^3$.
C. $a^3$.
D. $6a^3$.",A. $8a^3$.,Thể tích khối lập phương cạnh $2a$ là $V = (2a)^3 = 8a^3$.,,,
80,KT-14 (Trang 65 - Câu 3),Hình giải tích Oxyz,"**Câu 3:** Trong không gian $Oxyz$, Cho hai điểm $A(1;1;-1)$ và $B(2;3;2)$. Véctơ $\overrightarrow{AB}$ có tọa độ
A. $(1;2;3)$.
B. $(-1;-2;3)$.
C. $(3;5;1)$.
D. $(3;4;1)$.",A. $(1;2;3)$.,$\overrightarrow{AB} = (2-1;3-1;2+1) = (1;2;3)$,,,
81,KT-15 (Trang 66 - Câu 10),Tích phân - Nguyên hàm,"Họ nguyên hàm của hàm số $f(x) = e^x + x$ là
A. $e^x + x^2 + C$.
B. $e^x + \frac{1}{2}x^2 + C$.
C. $\frac{1}{x+1}e^x + \frac{1}{2}x^2 + C$.
D. $e^x + 1 + C$.",B. $e^x + \frac{1}{2}x^2 + C$.,"$\int f(x)\,\mathrm{d}x = \int (e^x + x)\,\mathrm{d}x = e^x + \frac{1}{2}x^2 + C$",,,
82,KT-16 (Trang 66 - Câu 13),Cấp số,"Cho cấp số cộng $(u_n)$ có số hạng đầu $u_1 = 2$ và công sai $d = 5$. Giá trị của $u_4$ bằng
A. 22.
B. 17.
C. 12.
D. 250.",B. 17.,"[GHI CHÚ: Trang 66 kết thúc ngay sau tiêu đề ""Lời giải."", không có nội dung lời giải nào hiển thị trong ảnh, và cũng không thấy dòng ""Chọn đáp án"". Đáp án B. 17 ở trên được suy ra từ công thức cấp số cộng ($u_4 = u_1 + 3d = 2 + 15 = 17$), không phải lấy trực tiếp từ ""Chọn đáp án"" trong tài liệu vì phần đó bị cắt sang trang sau (không có ảnh).]",,,
83,KT-17 (Trang 69 - Câu 27),Hình học không gian,"Cho khối chóp tứ giác đều có tất cả các cạnh bằng $2a$. Thể tích của khối chóp đã cho bằng
A. $\frac{4\sqrt{2}a^3}{3}$.
B. $\frac{8a^3}{3}$.
C. $\frac{8\sqrt{2}a^3}{3}$.
D. $\frac{2\sqrt{2}a^3}{3}$.",A. $\frac{4\sqrt{2}a^3}{3}$.,"Diện tích đáy $S_{ABCD} = (2a)^2 = 4a^2$.
Đường chéo đáy $AC = 2\sqrt{2}a$ nên $AO = a\sqrt{2}$ do đó chiều cao $SO = \sqrt{SA^2 - AO^2} = \sqrt{4a^2 - 2a^2} = a\sqrt{2}$.
Vậy thể tích là $V = \frac{1}{3}S_{ABCD}.SO = \frac{1}{3}4a^2 a\sqrt{2} = \frac{4\sqrt{2}a^3}{3}$.",,,
84,KT-18 (Trang 78 - Câu 2),Cấp số,"Cho cấp số nhân $(u_n)$ với $u_1 = 2$ và $u_2 = 6$. Công bội của cấp số nhân đã cho bằng
A. 3.
B. $-4$.
C. 4.
D. $\frac{1}{3}$.",A. 3.,Công bội của của cấp số nhân đã cho là $q = \dfrac{u_2}{u_1} = \dfrac{6}{2} = 3.$,,,
85,KT-19 (Trang 82 - Câu 24),Tích phân - Nguyên hàm,"Họ tất cả các nguyên hàm của hàm số $f(x) = \dfrac{x+2}{x-1}$ trên khoảng $(1;+\infty)$ là
A. $x + 3\ln(x-1) + C$.
B. $x - 3\ln(x-1) + C$.
C. $x - \dfrac{3}{(x-1)^2} + C$.
D. $x + \dfrac{3}{(x-1)^2} + C$.",A. $x + 3\ln(x-1) + C$.,"Ta có: $\int \dfrac{x+2}{x-1}\mathrm{d}x = \int \dfrac{x-1+3}{x-1}\mathrm{d}x = \int \left(1+\dfrac{3}{x-1}\right)\mathrm{d}x$
$= x + 3\ln|x-1| + C = x + 3\ln(x-1) + C$ (vì $x>1$).",,,
86,KT-20 (Trang 83 - Câu 26),Hình học không gian,"Cho khối lăng trụ đứng $ABCD.A'B'C'D'$ có đáy là hình thoi cạnh $a$, $BD = \sqrt{3}a$ và $AA' = 4a$ (minh họa như hình bên). Thể tích của khối lăng trụ đã cho bằng
A. $2\sqrt{3}a^3$.
B. $4\sqrt{3}a^3$.
C. $\dfrac{2\sqrt{3}a^3}{3}$.
D. $\dfrac{4\sqrt{3}a^3}{3}$.",A. $2\sqrt{3}a^3$.,"Gọi $O = AC \cap BD$. Ta có: $BO = \dfrac{1}{2}BD = \dfrac{a\sqrt{3}}{2}$.
Xét tam giác vuông $ABO$ có: $AO = \sqrt{AB^2 - BO^2} = \sqrt{a^2 - \left(\dfrac{a\sqrt{3}}{2}\right)^2} = \dfrac{a}{2} \Rightarrow AC = a$.
Diện tích hình thoi $ABCD$ là $S_{ABCD} = \dfrac{1}{2}AC \cdot BD = \dfrac{1}{2}a \cdot a\sqrt{3} = \dfrac{a^2\sqrt{3}}{2}$.
Thể tích khối lăng trụ $ABCD.A'B'C'D'$ là $V = S_{ABCD} \cdot AA' = \dfrac{a^2\sqrt{3}}{2} \cdot 4a = 2\sqrt{3}a^3$.",,,
87,KT-21 (Trang 83 - Câu 27),Hàm số - Đạo hàm - Khảo sát,"Tổng số tiệm cận đứng và tiệm cận ngang của đồ thị hàm số $y = \dfrac{5x^2-4x-1}{x^2-1}$ là
A. 0.
B. 1.
C. 2.
D. 3.",C. 2.,"Tập xác định $D = \mathbb{R} \setminus \{-1;1\}$.
Ta có: $\lim_{x\to+\infty}\dfrac{5x^2-4x-1}{x^2-1} = \lim_{x\to+\infty}\dfrac{5-\frac{4}{x}-\frac{1}{x^2}}{1-\frac{1}{x^2}} = 5$; $\lim_{x\to-\infty}\dfrac{5x^2-4x-1}{x^2-1} = \lim_{x\to-\infty}\dfrac{5-\frac{4}{x}-\frac{1}{x^2}}{1-\frac{1}{x^2}} = 5$
nên $y=5$ là tiệm cận ngang của đồ thị hàm số.
$\lim_{x\to(-1)^+}y = \lim_{x\to(-1)^+}\dfrac{5x^2-4x-1}{x^2-1} = \lim_{x\to(-1)^+}\dfrac{(x-1)(5x+1)}{(x-1)(x+1)} = \lim_{x\to(-1)^+}\dfrac{5x+1}{x+1} = -\infty$
$\lim_{x\to(-1)^-}y = \lim_{x\to(-1)^-}\dfrac{5x^2-4x-1}{x^2-1} = \lim_{x\to(-1)^-}\dfrac{5x+1}{x+1} = +\infty$
Suy ra $x=-1$ là tiệm cận đứng của đồ thị hàm số.
[GHI CHÚ: Lời giải bị cắt cụt tại đây do hết trang 83, không có ảnh trang 84 để lấy phần kết luận và dòng ""Chọn đáp án"". Đáp án C được suy luận từ toán học (1 tiệm cận ngang $y=5$ + 1 tiệm cận đứng $x=-1$, vì tại $x=1$ là điểm gián đoạn khử được nên không phải tiệm cận đứng), không phải lấy trực tiếp từ ""Chọn đáp án"" trong tài liệu.]",,,
88,KT-22 (Trang 87 - Câu 40),Hình giải tích Oxyz,"Cho hình nón có chiều cao bằng $2\sqrt{5}$. Một mặt phẳng đi qua đỉnh hình nón và cắt hình nón theo một thiết diện là tam giác đều có diện tích bằng $9\sqrt{3}$. Thể tích của khối nón được giới hạn bởi hình nón đã cho bằng
A. $\dfrac{32\sqrt{5}\pi}{3}$.
B. $32\pi$.
C. $32\sqrt{5}\pi$.
D. $96\pi$.",A. $\dfrac{32\sqrt{5}\pi}{3}$.,"Mặt phẳng qua đỉnh của hình nón và cắt hình nón theo thiết diện là tam giác đều $SAB$.
Gọi $H$ là trung điểm của $AB$, ta có $SH \perp AB$ và $OH \perp AB$.
Theo đề ta có $h = SO = 2\sqrt{5}$.
$S_{\Delta SAB} = \dfrac{1}{2}AB \cdot SH = 9\sqrt{3}$ mà $SH = \dfrac{AB\sqrt{3}}{2}$.
$S_{\Delta SAB} = \dfrac{1}{2}AB \cdot \dfrac{AB\sqrt{3}}{2} = 9\sqrt{3} \Leftrightarrow \dfrac{AB^2\sqrt{3}}{4} = 9\sqrt{3} \Leftrightarrow AB^2 = 36 \Leftrightarrow AB = 6.$
$\Rightarrow SA = SB = AB = 6.$
$\Delta SAO$ vuông tại $O$ có: $SA^2 = OA^2 + SO^2 \Rightarrow OA^2 = SA^2 - SO^2 = 16$
$\Rightarrow r = OA = 4$ ($OA>0$).
$V = \dfrac{1}{3}\pi r^2 h = \dfrac{1}{3}\pi \cdot 4^2 \cdot 2\sqrt{5} = \dfrac{32\sqrt{5}\pi}{3}.$",,,
89,KT-23 (Trang 93 - Câu 2),Cấp số,"Cho cấp số cộng $(u_n)$ với $u_1 = 3$, $u_2 = 9$. Công sai của cấp số cộng đã cho bằng
A. 6.
B. 3.
C. 12.
D. $-6$.",A. 6.,"Cấp số cộng $(u_n)$ có số hạng tổng quát là: $u_n = u_1 + (n-1)d$ (với $u_1$ là số hạng đầu và $d$ là công sai).
Suy ra có: $u_2 = u_1 + d \Leftrightarrow 9 = 3 + d \Leftrightarrow d = 6.$
Vậy công sai của cấp số cộng đã cho bằng 6.",,,
90,KT-24 (Trang 93 - Câu 4),Hình học không gian,"Thể tích khối lập phương cạnh 2 bằng
A. 6.
B. 8.
C. 4.
D. 2.",B. 8.,"Thể tích của khối lập phương cạnh $a$ là $V = a^3$.
Vậy thể tích khối lập phương cạnh 2 là $V = 2^3 = 8.$",,,
91,KT-25 (Trang 93 - Câu 6),Tích phân - Nguyên hàm,"Hàm số $F(x)$ là một nguyên hàm của hàm số $f(x)$ trên khoảng $K$ nếu
A. $F'(x) = -f(x), \forall x \in K$.
B. $f'(x) = F(x), \forall x \in K$.
C. $F'(x) = f(x), \forall x \in K$.
D. $f'(x) = -F(x), \forall x \in K$.","C. $F'(x) = f(x), \forall x \in K$.","Theo định nghĩa thì hàm số $F(x)$ là một nguyên hàm của hàm số $f(x)$ trên khoảng $K$ nếu $F'(x) = f(x), \forall x \in K.$",,,
92,KT-26 (Trang 111 - Câu 21),Hình học không gian,"Cho khối lăng trụ có diện tích đáy $B$ và chiều cao $h$. Thể tích $V$ của khối lăng trụ đã cho được tính theo công thức nào dưới đây?
A. $V = \dfrac{1}{3}Bh$.
B. $V = \dfrac{4}{3}Bh$.
C. $V = 6Bh$.
D. $V = Bh$.",D. $V = Bh$.,Thể tích $V$ của khối lăng trụ có diện tích đáy $B$ và chiều cao $h$ là $V = B \cdot h$.,,,
93,KT-27 (Trang 112 - Câu 26),Cấp số,"Cho cấp số cộng $(u_n)$ với $u_1 = 7$ và công sai $d = 4$. Giá trị của $u_2$ bằng
A. 11.
B. 3.
C. $\dfrac{7}{4}$.
D. 28.",A. 11.,Ta có $u_2 = u_1 + d = 7 + 4 = 11.$,,,
94,KT-28 (Trang 115 - Câu 41),Hàm số - Đạo hàm - Khảo sát,"Cho hàm số $y=f(x)$ có đạo hàm là $f'(x)=12x^2+2, \forall x \in \mathbb{R}$ và $f(1)=3$. Biết $F(x)$ là nguyên hàm của $f(x)$ thỏa mãn $F(0)=2$, khi đó $F(1)$ bằng
A. $-3$.
B. $1$.
C. $2$.
D. $7$.",B. $1$.,"Ta có $f(x)=\int f'(x)\,\mathrm{d}x=4x^3+2x+C_1$. Vì $f(1)=3$ nên $C_1=-3$.
Khi đó $f(x)=4x^3+2x-3$.
Ta có $F(x)=\int f(x)\,\mathrm{d}x=x^4+x^2-3x+C_2$. Vì $F(0)=2$ nên $C_2=2$.
Khi đó $F(x)=x^4+x^2-3x+2$.
Vậy $F(1)=1$.",,,
95,KT-29 (Trang 126 - Câu 32),Hàm số - Đạo hàm - Khảo sát,"Cho hàm số $y=f(x)$ có đạo hàm $f'(x)=(x-2)^2(1-x)$ với mọi $x \in \mathbb{R}$. Hàm số đã cho đồng biến trên khoảng nào dưới đây?
A. $(1;2)$.
B. $(1;+\infty)$.
C. $(2;+\infty)$.
D. $(-\infty;1)$.",D. $(-\infty;1)$.,"Ta có $f'(x) = (x-2)^2(1-x) = 0 \Leftrightarrow \begin{bmatrix} x=2 \\ x=1 \end{bmatrix}$.
Bảng xét dấu

| $x$ | $-\infty$ | | $1$ | | $2$ | | $+\infty$ |
|---|---|---|---|---|---|---|---|
| $f'(x)$ | | $+$ | $0$ | $-$ | $0$ | $-$ | |

Dựa vào bảng xét dấu hàm số $y=f(x)$ đồng biến trên khoảng $(-\infty;1)$.",,,
96,KT-30 (Trang 131 - Câu 43),Hình học không gian,"Cho khối lăng trụ đứng $ABC.A'B'C'$ có đáy $ABC$ là tam giác vuông cân tại $B$, $AB=a$. Biết khoảng cách từ $A$ đến mặt phẳng $(A'BC)$ bằng $\dfrac{\sqrt{6}}{3}a$, thể tích khối lăng trụ đã cho bằng
A. $\dfrac{\sqrt{2}}{6}a^3$.
B. $\dfrac{\sqrt{2}}{2}a^3$.
C. $\sqrt{2}a^3$.
D. $\dfrac{\sqrt{2}}{4}a^3$.",B. $\dfrac{\sqrt{2}}{2}a^3$.,"Dựng $AH \perp A'B$ tại $H$.
Ta có $\begin{cases} BC \perp AB \\ BC \perp AA' \end{cases} \Rightarrow BC \perp (AA'B'B)$,
mà $AH \subset (AA'B'B)$ nên $BC \perp AH$.
Ta có $\begin{cases} AH \perp A'B \\ AH \perp BC \end{cases} \Rightarrow AH \perp (A'BC)$.
$\Rightarrow AH = \mathrm{d}(A,(A'BC)) = \dfrac{a\sqrt{6}}{3}$.
Xét $\triangle AA'B$ vuông tại $A$, đường cao $AH$, ta có
$\dfrac{1}{AA'^2} = \dfrac{1}{AH^2} - \dfrac{1}{AB^2} = \dfrac{1}{\left(\dfrac{a\sqrt{6}}{3}\right)^2} - \dfrac{1}{a^2} = \dfrac{1}{2a^2} \Rightarrow AA' = a\sqrt{2}$.
Thể tích khối lăng trụ $ABC.A'B'C'$ là
$V = AA' \cdot S_{\triangle ABC} = a\sqrt{2} \cdot \dfrac{1}{2}a \cdot a = \dfrac{\sqrt{2}}{2}a^3$.",,,
97,KT-31 (Trang 140 - Câu 20),Hình giải tích Oxyz,"Trong không gian với hệ tọa độ $Oxyz$, phương trình nào dưới đây là phương trình của đường thẳng đi qua điểm $A(2;3;0)$ và vuông góc với mặt phẳng $(P): x+3y-z+5=0$?
A. $\begin{cases} x=1+3t \\ y=3t \\ z=1-t \end{cases}$.
B. $\begin{cases} x=1+t \\ y=3t \\ z=1-t \end{cases}$.
C. $\begin{cases} x=1+t \\ y=1+3t \\ z=1-t \end{cases}$.
D. $\begin{cases} x=1+3t \\ y=3t \\ z=1+t \end{cases}$.",B. $\begin{cases} x=1+t \\ y=3t \\ z=1-t \end{cases}$.,"$(d)$ đi qua $A(2;3;0)$ và vuông góc với mặt phẳng $(P): x+3y-z+5=0$.
$(d)$ đi qua $A(2;3;0)$ và nhận $\overrightarrow{n_{(P)}} = (1;3;-1)$ làm vectơ chỉ phương $\Rightarrow$ Loại đáp án A, D vì sai VTCP. Loại đáp án C vì điểm $A$ không thuộc đường thẳng.",,,
98,KT-32 (Trang 143 - Câu 32),Tích phân - Nguyên hàm,"Cho $F(x)=x^2$ là một nguyên hàm của hàm số $f(x)\mathrm{e}^{2x}$. Tìm nguyên hàm của hàm số $f'(x)\mathrm{e}^{2x}$.
A. $\displaystyle\int f'(x)\mathrm{e}^{2x}\,\mathrm{d}x = -x^2+2x+C$.
B. $\displaystyle\int f'(x)\mathrm{e}^{2x}\,\mathrm{d}x = -x^2+x+C$.
C. $\displaystyle\int f'(x)\mathrm{e}^{2x}\,\mathrm{d}x = 2x^2-2x+C$.
D. $\displaystyle\int f'(x)\mathrm{e}^{2x}\,\mathrm{d}x = -2x^2+2x+C$.",D. $-2x^2+2x+C$.,"Theo đề cho, ta có: $\displaystyle\int f(x)\cdot \mathrm{e}^{2x}\,\mathrm{d}x = x^2+C$.
$\left(\displaystyle\int f(x)\mathrm{e}^{2x}\,\mathrm{d}x\right)' = f(x)\mathrm{e}^{2x} \Rightarrow (x^2+C)' = 2x = f(x)\mathrm{e}^{2x}$.
$I = \displaystyle\int f'(x)\mathrm{e}^{2x}\,\mathrm{d}x$?
Đặt $\begin{cases} u=\mathrm{e}^{2x} \\ \mathrm{d}v=f'(x)\,\mathrm{d}x \end{cases} \Rightarrow \begin{cases} \mathrm{d}u=2\mathrm{e}^{2x}\mathrm{d}x \\ v=f(x) \end{cases}$.
$I = f(x)\mathrm{e}^{2x} - \displaystyle\int 2f(x)\mathrm{e}^{2x}\,\mathrm{d}x = f(x)\mathrm{e}^{2x} - 2\displaystyle\int f(x)\mathrm{e}^{2x}\,\mathrm{d}x = 2x - 2(x^2+C) = -2x^2+2x+C$.",,,
99,KT-33 (Trang 146 - Câu 43),Hình học không gian,"Cho khối chóp $S.ABCD$ có đáy là hình vuông cạnh $a$, $SA$ vuông góc với đáy và $SC$ tạo với mặt phẳng $(SAB)$ một góc $30^0$. Tính thể tích $V$ của khối chóp đã cho.
A. $V = \dfrac{\sqrt{6}a^3}{3}$.
B. $V = \dfrac{\sqrt{2}a^3}{3}$.
C. $V = \dfrac{2a^3}{3}$.
D. $V = \sqrt{2}a^3$.",B. $V = \dfrac{\sqrt{2}a^3}{3}$.,"$\begin{cases} BC\perp BA & (ABCD \text{ là hình vuông}) \\ BC\perp SA & (SA\perp(ABCD)) \end{cases}$
$\Rightarrow BC\perp(SAB) \Rightarrow (BC,(SAB)) = \widehat{BSC} = 30^0$.
$\triangle SBC$ vuông tại $B$: $\tan 30^0 = \dfrac{BC}{SB} \Rightarrow SB = \sqrt{3}a$.
$\triangle SAB$ vuông tại $A$: $SA = \sqrt{2}a$.
$V = \dfrac{1}{3}SA.S_{ABCD} = \dfrac{1}{3}.\sqrt{2}a.a^2 = \dfrac{\sqrt{2}}{3}a^3$.",,,
